"ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating..numeric.","ProsperRating..Alpha.","ProsperScore","ListingCategory..numeric.","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent..percentage.","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"0DFD35069860903300C7973",494156,"2011-02-17 05:52:07.960000000","",36,"Completed","2012-02-03 00:00:00",0.13109,0.1099,0.0999,0.0983,0.0495,0.0488,5,"B",8,6,"VA","Analyst","Full-time",21,"True","False","","2011-02-17 05:52:03",760,779,"2000-10-03 00:00:00",15,15,36,6,210,2,5,0,0,0,0,0,7168,0.48,7682,28,1,0,0.18,"$75,000-99,999","True",6466.666667,"73133611746418789CAEC30",1,6,6,0,0,7500,6406.25,-12,0,NA,37,47313,5600,"2011-02-24 00:00:00","Q1 2011","A462348861855137328A095",183.31,6106.15,5600,506.15,-46.07,0,0,0,0,1,0,0,0,114
"3146342014834032651EEC1",317530,"2008-04-24 12:57:41.427000000","C",36,"Completed","2010-06-28 00:00:00",0.12562,0.1045,0.0945,NA,NA,NA,NA,"",NA,4,"VA","Computer Programmer","Full-time",4,"False","False","","2008-04-24 12:52:06.480000000",640,659,"2003-06-13 00:00:00",10,10,11,9,434,0,4,0,0,0,0,0,12388,0.86,1957,11,0.9,1,0.21,"$50,000-74,999","True",4416.666667,"379D3419763805147C96010",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,70,30627,7400,"2008-05-06 00:00:00","Q2 2008","31B734185351356369D1EF9",240.34,8442.7,7399.33,1043.37,-99.84,0,0,0,0,1,0,0,0,141
"3DBB3407013762579783863",242263,"2007-12-02 11:27:12.063000000","AA",36,"Completed","2009-04-10 00:00:00",0.08985,0.083,0.083,NA,NA,NA,NA,"",NA,0,"VA","Executive","Full-time",73,"True","False","","2007-12-02 10:20:40.947000000",820,839,"1980-05-27 00:00:00",18,16,41,18,201,2,6,0,0,0,0,0,15704,0.05,226076,38,0.94,0,0.11,"$100,000+","True",15000,"34703406647090537F00FAE",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,75,23606,4900,"2007-12-13 00:00:00","Q4 2007","F67B3395705450858BAE671",154.23,5337.67,4900,437.67,0,0,0,0,0,1,0,0,0,163
"46EE34223473541024FC718",339803,"2008-05-27 12:21:02.420000000","C",36,"Defaulted","2010-08-04 00:00:00",0.17018,0.1485,0.1385,NA,NA,NA,NA,"",NA,4,"VA","Executive","Full-time",48,"False","False","","2008-05-27 12:15:14.700000000",660,679,"1984-10-05 00:00:00",7,7,10,4,64,2,3,0,0,5,0,0,1013,0.85,145,10,0.7,2,0.17,"$100,000+","True",9166.666667,"10803423366744489AE9A74",NA,NA,NA,NA,NA,NA,NA,NA,848,26,69,32248,7000,"2008-06-04 00:00:00","Q2 2008","0BAB3421707287555AE097A",242.14,4934.94,3420.11,1514.83,-97.97,-648.67,3579.91,3033.15,1615.49,1,0,0,0,146
"7A43350749111898469912E",494277,"2011-02-17 08:42:37.697000000","",12,"Completed","2012-02-25 00:00:00",0.05927,0.0499,0.0399,0.04,0.0155,0.0245,7,"AA",10,7,"VA","Computer Programmer","Employed",76,"False","False","","2011-02-17 08:42:33",820,839,"1987-11-20 00:00:00",3,3,12,3,38,0,1,0,0,0,0,0,800,0.03,22900,11,1,0,0.04,"$100,000+","True",10833.333333,"9948361329459065653F8C1",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,37,47357,5000,"2011-02-25 00:00:00","Q1 2011","7DA3338766366784768C2AF",428.01,5134.97,5000,134.97,-27.06,0,0,0,0,1,0,0,0,98
"2E8F33920038081392DED67",148710,"2007-06-07 20:02:21.133000000","A",36,"Completed","2010-03-02 00:00:00",0.09688,0.09,0.085,NA,NA,NA,NA,"",NA,0,"VA","Professional","Full-time",9,"True","False","","2007-06-07 19:44:56.650000000",740,759,"1994-10-03 00:00:00",11,10,35,7,853,2,9,0,0,0,0,0,99064,0.66,50440,30,1,0,0.18,"$50,000-74,999","True",5916.666667,"D08E339297152965170DDF1",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,81,16098,5000,"2007-06-18 00:00:00","Q2 2007","98A733858177890721673C0",159,5715.99,5000,715.99,-39.78,0,0,0,0,1,0,0,0,148
"0A5335000611530862FDAF5",484185,"2010-11-13 15:28:15.257000000","",36,"Completed","2011-12-19 00:00:00",0.17069,0.149,0.139,0.0772,0.0595,0.0772,5,"B",8,1,"VA","Computer Programmer","Employed",38,"True","False","","2010-11-13 15:28:08",740,759,"1989-10-26 00:00:00",16,13,36,7,466,0,1,0,0,0,0,0,63956,0.39,18927,36,0.86,0,0.27,"$100,000+","True",8664.083333,"388A3604051168334E0C7F5",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40,45583,15000,"2010-11-26 00:00:00","Q4 2010","61543500686175941D7773B",519.25,17049.44,15000,2049.44,-137.53,0,0,0,0,1,0,0,0,415
"30483472794370084BE90AF",440174,"2009-12-29 08:28:44.493000000","",36,"Completed","2013-01-08 00:00:00",0.11448,0.0935,0.0835,0.0623,0.021,0.0623,6,"A",9,1,"VA","Analyst","Full-time",53,"False","False","","2009-12-29 08:09:40",760,779,"1992-01-29 00:00:00",12,11,53,13,324,0,2,0,0,0,0,0,11366,0.26,30711,40,0.9,0,0.2,"$75,000-99,999","True",7416.666667,"66DD35767131536652D90D1",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,40327,11500,"2010-01-08 00:00:00","Q1 2010","9B70341669735990945884F",367.57,13230.58,11499.99,1730.59,-185.09,0,0,0,0,1,0,0,0,378
"43DA347532848296295D67A",444469,"2010-01-27 10:07:15.710000000","",36,"Completed","2013-01-07 00:00:00",0.37453,0.35,0.34,0.1399,0.18,0.1399,1,"HR",5,2,"VA","Executive","Full-time",13,"True","False","","2010-04-16 06:06:20",640,659,"1991-02-22 00:00:00",21,15,59,11,617,3,13,0,0,2,1,0,18324,0.95,806,42,0.95,2,0.2,"$100,000+","True",8750,"2978358545949472608869E",1,18,18,0,0,2500,1565.78,35,0,NA,47,41858,2500,"2010-04-22 00:00:00","Q2 2010","1D3734324151705868650B3",113.09,4022.49,2500,1522.49,-43.47,0,0,0,0,1,0,0,0,36
"0B9C3403891421855CFA22E",222761,"2007-10-29 09:42:24.367000000","C",36,"Completed","2010-09-20 00:00:00",0.0768,0.07,0.06,NA,NA,NA,NA,"",NA,0,"VA","Military Enlisted","Full-time",72,"True","True","306A3386722721463ECE4F2","2007-10-29 09:40:50.300000000",660,679,"1996-05-24 00:00:00",12,11,40,9,574,0,12,0,0,0,0,0,34909,0.74,10102,37,1,1,0.76,"$25,000-49,999","True",2400,"FA483405133968612139703",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,76,21470,6000,"2007-11-07 00:00:00","Q4 2007","30A233852045701115DF643",185.26,6667.27,5999.7,667.57,-95.37,0,0,0,0,1,4,0,0,2
"4B683528762309307B48FE0",532253,"2011-10-13 05:09:30.693000000","",36,"Completed","2013-06-28 00:00:00",0.1322,0.111,0.101,0.1007,0.02,0.0807,6,"A",8,2,"VA","Analyst","Employed",26,"False","True","3D4D3366260257624AB272D","2011-10-13 05:09:28",700,719,"1997-01-29 00:00:00",13,13,23,7,446,0,7,0,0,0,1,0,2338,0.01,5881,22,0.86,0,0.21,"$100,000+","True",10750,"A4753634147197063976373",1,11,11,0,0,5000,430.24,46,0,NA,29,55276,24500,"2011-10-28 00:00:00","Q4 2011","51773379239367986F0392B",803.26,27158.24,24500,2658.24,-239.48,0,0,0,0,1,0,0,0,327
"39E234206523115950677FB",329611,"2008-05-09 16:01:45.097000000","A",36,"Completed","2011-03-11 00:00:00",0.12201,0.108,0.098,NA,NA,NA,NA,"",NA,6,"VA","Computer Programmer","Full-time",6,"False","False","","2008-05-09 15:43:56.357000000",720,739,"2006-12-01 00:00:00",2,2,2,2,25,0,2,0,0,0,0,0,413,0.06,5987,2,1,0,0.03,"$50,000-74,999","True",5416.666667,"B9983420172863892B7E251",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,70,31058,5000,"2008-05-14 00:00:00","Q2 2008","64333420538689916644259",163.22,5859.1,4999.98,859.12,-79.55,0,0,0,0,1,0,0,0,87
"8B2734073701473823A7035",247053,"2007-12-08 09:05:10.137000000","A",36,"Completed","2009-02-06 00:00:00",0.10692,0.1,0.09,NA,NA,NA,NA,"",NA,1,"VA","Military Enlisted","Full-time",48,"True","False","","2007-12-08 06:19:33.370000000",740,759,"2000-04-07 00:00:00",6,5,7,1,32,0,1,0,0,0,0,0,1110,0.13,6890,6,0.71,0,0.2,"$25,000-49,999","True",3166.666667,"62543408312185987683FEA",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,75,23653,3550,"2007-12-14 00:00:00","Q4 2007","E1573406520036429DB7474",114.55,3894.01,3550,344.01,-34.41,0,0,0,0,1,0,0,0,77
"0C7E3528277245267355C14",531772,"2011-10-10 11:04:55.220000000","",36,"Defaulted","2012-05-22 00:00:00",0.16056,0.139,0.129,0.1285,0.038,0.0905,6,"A",8,1,"VA","Professional","Employed",42,"False","False","","2011-10-10 11:04:50",780,799,"1999-08-21 00:00:00",9,9,20,6,74,5,8,0,0,0,0,0,2317,0.06,32283,16,1,1,0.18,"$75,000-99,999","True",6666.666667,"601D3632676517962844CDF",NA,NA,NA,NA,NA,NA,NA,NA,168,8,29,54712,17500,"2011-10-21 00:00:00","Q4 2011","D6B13529101226951D86E2D",597.26,1194.52,792.45,402.07,-28.92,0,16707.55,16707.55,0,1,0,0,0,264
